riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,initITIstatic,initITIdynamic,CGErdmStartText.started,CGErdmStartResp.started,CGErdmStartResp.keys,CGErdmStartResp.rt,pracStartText.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircleLeft.started,pracCircleRight.started,pracLineLeft.started,pracORtext.started,pracLossText.started,pracGainText.started,pracSafeText.started,pracVLeft.started,pracNRight.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespText.started,pracRiskOC.started,pracSafeOC.started,pracOCtext.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,staticStartText.started,staticStartResp.started,staticStartResp.keys,staticStartResp.rt,CircleLeft.started,realCircleRight.started,realLineLeft.started,realORtext.started,realLossText.started,realGainText.started,realSafeText.started,realVLeft.started,realNRight.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiFix.started,isiFix.stopped,staticNoRespText.started,staticRiskOC.started,staticSafeOC.started,staticOCtext.started,staticHideRisk.started,outcomes,choices,itiFix.started,itiFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFit.started,setupBestFit.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,dynamicStartText.started,dynamicStartResp.started,dynamicStartResp.keys,dynamicStartResp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,1,10.68,0.0,10.68,1,,,,,0,12,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,199.29625529999612,1,v,0.521395300005679,203.28979499999696,203.78943810000055,203.78943810000055,203.78943810000055,203.78943810000055,203.78943810000055,203.78943810000055,0.0,1,204.80429229999572,209.79733029999625,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,14.26,0.0,0.0,1,,,,,0,13,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,209.79733029999625,2,v,0.36244019999867305,213.79061340000044,214.29008359999716,214.29008359999716,214.29008359999716,214.29008359999716,214.29008359999716,214.29008359999716,0.0,0,215.30498459999944,220.4477762000024,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,10.73,0.0,6.63,0,,,,,0,14,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,220.4477762000024,1,None,,224.45789389999845,,224.9572530000005,224.9572530000005,224.9572530000005,224.9572530000005,224.9572530000005,nan,nan,225.95557819999522,230.60031329999765,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,20.03,0.0,1.99,0,,,,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,230.60031329999765,2,None,,234.60924140000134,,235.1085368999993,235.1085368999993,235.1085368999993,235.1085368999993,235.1085368999993,nan,nan,236.10692310000013,240.75163669999893,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,19.86,0.0,0.0,1,,,,,0,16,16,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,240.75163669999893,2,None,,244.7607594000001,,245.2599001999988,245.2599001999988,245.2599001999988,245.2599001999988,245.2599001999988,nan,nan,246.25831879999896,250.90177140000014,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,17.0,0.0,9.5,0,,,,,0,17,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,250.90177140000014,1,n,1.2575328000020818,254.8952231000003,255.39479510000092,255.39479510000092,255.39479510000092,255.39479510000092,255.39479510000092,255.39479510000092,9.5,0,256.4097432999988,260.65555189999577,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,16.11,6.99,6.99,1,,,,,0,18,18,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,260.65555189999577,2,n,3.4237410000059754,264.64746639999794,265.14684670000133,265.14684670000133,265.14684670000133,265.14684670000133,265.14684670000133,265.14684670000133,6.99,1,266.161608800001,267.74463190000097,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,18.33,0.0,8.84,0,,,,,0,19,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,267.74463190000097,2,v,0.8547293000010541,271.7366387000002,272.2361204999979,272.2361204999979,272.2361204999979,272.2361204999979,272.2361204999979,272.2361204999979,8.84,0,273.25094309999986,277.91216559999884,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,1,11.43,0.0,6.29,0,,,,,0,20,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,277.91216559999884,1,n,0.8386205000060727,281.90456540000014,282.4039915999965,282.4039915999965,282.4039915999965,282.4039915999965,282.4039915999965,282.4039915999965,6.29,0,283.4188546000005,287.5801885999972,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
,,,,,2,17.59,0.0,9.2,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,287.5801885999972,2,v,0.6114364000022761,291.5733340000006,292.0728670999961,292.0728670999961,292.0728670999961,292.0728670999961,292.0728670999961,292.0728670999961,9.2,0,293.0877552999955,297.9807193000015,,,,,,,,,,,999,2023-09-26_22h34.59.321,CGTriskyDMtask,2022.2.1,60.10019905044512,
