riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,text.started,staticLoadChoiceset.started,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,breaktxt.started,stopBreak.started,stopBreak.keys,stopBreak.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,2,16.0,0.0,4.0,0,,,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.59575550002046,152.59575550002046,152.59575550002046,152.59575550002046,152.59575550002046,152.59575550002046,152.59575550002046,154.5716994999675,154.5716994999675,154.5716994999675,2,None,,156.58420879999176,,157.08373850001954,157.08373850001954,157.08373850001954,157.08373850001954,157.08373850001954,nan,nan,158.0819508000277,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,18.33,0.0,8.84,0,,,,,,,0,14,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.10161780007184,159.10161780007184,159.10161780007184,159.10161780007184,159.10161780007184,159.10161780007184,159.10161780007184,161.07855079998262,161.07855079998262,161.07855079998262,1,v,0.9024715999839827,162.00900840002578,162.50920530001167,162.50920530001167,162.50920530001167,162.50920530001167,162.50920530001167,162.50920530001167,18.33,1,163.52379330003168,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,16.26,0.0,9.87,0,,,,,,,0,15,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.5253249000525,164.5253249000525,164.5253249000525,164.5253249000525,164.5253249000525,164.5253249000525,164.5253249000525,166.50360779999755,166.50360779999755,166.50360779999755,2,n,0.47789590002503246,167.00241750001442,,167.52577449998353,167.52577449998353,167.52577449998353,167.52577449998353,167.52577449998353,16.26,1,168.51627430005465,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,10.73,0.0,6.63,0,,,,,,,0,16,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.5334928999655,169.5334928999655,169.5334928999655,169.5334928999655,169.5334928999655,169.5334928999655,169.5334928999655,171.49612270004582,171.49612270004582,171.49612270004582,1,v,0.4244763000169769,171.9446416000137,,172.4645165000111,172.4645165000111,172.4645165000111,172.4645165000111,172.4645165000111,0.0,1,173.45890149998013,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,10.95,0.0,6.53,0,,,,,,,0,17,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.46233840007335,174.46233840007335,174.46233840007335,174.46233840007335,174.46233840007335,174.46233840007335,174.46233840007335,176.43861339997966,176.43861339997966,176.43861339997966,2,n,0.5740954999346286,177.0365557000041,177.53704920003656,177.53704920003656,177.53704920003656,177.53704920003656,177.53704920003656,177.53704920003656,0.0,1,178.55106139997952,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,10.12,0.0,6.94,0,,,,,,,0,18,18,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.56731940002646,179.56731940002646,179.56731940002646,179.56731940002646,179.56731940002646,179.56731940002646,179.56731940002646,181.53115359996445,181.53115359996445,181.53115359996445,1,v,0.9212960000149906,182.47808849997818,182.9786181000527,182.9786181000527,182.9786181000527,182.9786181000527,182.9786181000527,182.9786181000527,0.0,1,183.99287089996506,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,17.94,0.0,9.03,0,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0079675000161,185.0079675000161,185.0079675000161,185.0079675000161,185.0079675000161,185.0079675000161,185.0079675000161,186.97275109996554,186.97275109996554,186.97275109996554,2,n,1.29050629993435,188.2863262000028,188.7860388000263,188.7860388000263,188.7860388000263,188.7860388000263,188.7860388000263,188.7860388000263,17.94,1,189.8007585000014,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,11.2,0.0,6.4,0,,,,,,,0,20,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.82023790001404,190.82023790001404,190.82023790001404,190.82023790001404,190.82023790001404,190.82023790001404,190.82023790001404,192.78056069999002,192.78056069999002,192.78056069999002,1,v,0.9746931999688968,193.77794190007262,194.282713899971,194.282713899971,194.282713899971,194.282713899971,194.282713899971,194.282713899971,11.2,1,195.2925619999878,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,0.0,0.0,7.55,1,,,,,,,0,21,21,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.3101166000124,196.3101166000124,196.3101166000124,196.3101166000124,196.3101166000124,196.3101166000124,196.3101166000124,198.27241930004675,198.27241930004675,198.27241930004675,2,n,0.5483392999740317,198.83700279996265,199.34134779998567,199.34134779998567,199.34134779998567,199.34134779998567,199.34134779998567,199.34134779998567,0.0,1,200.35148319997825,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,12.68,0.0,5.66,0,,,,,,,0,22,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.36969279998448,201.36969279998448,201.36969279998448,201.36969279998448,201.36969279998448,201.36969279998448,201.36969279998448,203.33149999997113,203.33149999997113,203.33149999997113,2,n,1.5847979999380186,204.94430520001333,205.44456149998587,205.44456149998587,205.44456149998587,205.44456149998587,205.44456149998587,205.44456149998587,0.0,1,206.45902970002498,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,1,17.28,0.0,9.36,0,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.47842110006604,207.47842110006604,207.47842110006604,207.47842110006604,207.47842110006604,207.47842110006604,207.47842110006604,209.4388834000565,209.4388834000565,209.4388834000565,1,v,1.0411904000211507,210.50277340004686,211.01994430006016,211.01994430006016,211.01994430006016,211.01994430006016,211.01994430006016,211.01994430006016,17.28,1,212.0173085000133,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,20.03,0.0,1.99,0,,,,,,,0,24,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.03063900000416,213.03063900000416,213.03063900000416,213.03063900000416,213.03063900000416,213.03063900000416,213.03063900000416,214.99727260007057,214.99727260007057,214.99727260007057,2,n,0.4582484000129625,215.47850409999955,215.9784678000724,215.9784678000724,215.9784678000724,215.9784678000724,215.9784678000724,215.9784678000724,0.0,1,216.99308370007202,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
,,,,,2,13.04,0.0,5.48,0,,,,,,,0,25,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.02119110000785,218.02119110000785,218.02119110000785,218.02119110000785,218.02119110000785,218.02119110000785,218.02119110000785,219.97279450006317,219.97279450006317,219.97279450006317,2,n,0.793227499932982,220.78721009998117,221.28982900001574,221.28982900001574,221.28982900001574,221.28982900001574,221.28982900001574,221.28982900001574,13.04,1,222.30194380006287,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-02-14_12h13.19.994,CGTriskyDMtask,2022.2.4,59.968972054961114,
