riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,staticTrials.thisRepN,staticTrials.thisTrialN,staticTrials.thisN,staticTrials.thisIndex,BestFit.thisRepN,BestFit.thisTrialN,BestFit.thisN,BestFit.thisIndex,dynamicTrials.thisRepN,dynamicTrials.thisTrialN,dynamicTrials.thisN,dynamicTrials.thisIndex,choiceP,easy0difficult1,initITIstatic,initITIdynamic,cgeRDMstartTxt.started,cgeRDMstartResp.started,cgeRDMstartResp.keys,cgeRDMstartResp.rt,pracStartTxt.started,pracStartResp.started,pracStartResp.keys,pracStartResp.rt,pracCircLeft.started,pracCircRight.started,pracRiskLine.started,pracORtxt.started,pracLossTxt.started,pracGainTxt.started,pracSafeTxt.started,pracVleft.started,pracNright.started,pracChoiceResp.started,pracChoiceResp.keys,pracChoiceResp.rt,isiPracFix.started,isiPracFix.stopped,pracNoRespTxt.started,pracRiskOC.started,pracSafeOC.started,pracOCtxt.started,pracHideRisk.started,outcome,itiPracFix.started,itiPracFix.stopped,statStartTxt.started,statStartResp.started,statStartResp.keys,statStartResp.rt,realCircLeft.started,realCircRight.started,realRiskLine.started,realORtxt.started,realLossTxt.started,realGainTxt.started,realSafeTxt.started,realVleft.started,realNright.started,realChoiceResp.started,loc,realChoiceResp.keys,realChoiceResp.rt,isiRealFix.started,statNoRespTxt.started,statRiskOC.started,statSafeOC.started,statOCtxt.started,statHideRisk.started,outcomes,choices,itiRealFix.started,itiRealFix.stopped,isiRealFix.stopped,dynamicChoiceSet.routineStartVal,setupBestFitTxt.started,setupBestFitTxt.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,loadDynaChoicesTxt.started,dynaStartTxt.started,dynaStartResp.started,dynaStartResp.keys,dynaStartResp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,1,11.84,0.0,6.08,0,,,,,0,12,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,237.9469823999989,1,v,0.3812351000015042,238.34615559999838,239.36155139999937,239.36155139999937,239.36155139999937,239.36155139999937,239.36155139999937,0.0,1,240.3597278999987,243.3721689999984,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,20.03,0.0,1.99,0,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,243.3721689999984,2,n,0.8362534000007145,244.23717279999983,245.25257059999967,245.25257059999967,245.25257059999967,245.25257059999967,245.25257059999967,20.03,1,246.25081659999887,249.762514,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,10.24,0.0,6.88,0,,,,,0,14,14,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.762514,249.762514,249.762514,249.762514,249.762514,249.762514,249.762514,249.762514,249.762514,249.762514,2,v,0.35754090000045835,250.14498359999925,251.16042299999935,251.16042299999935,251.16042299999935,251.16042299999935,251.16042299999935,6.88,0,252.15879309999946,255.17109919999893,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,25.2,0.0,5.4,0,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,255.17109919999893,1,n,0.44544390000010026,255.63674509999873,256.65196299999843,256.65196299999843,256.65196299999843,256.65196299999843,256.65196299999843,5.4,0,257.6503352999989,261.1620759999987,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,10.55,0.0,6.73,0,,,,,0,16,16,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,261.1620759999987,1,v,0.590051900000617,261.7774303999995,262.79291589999957,262.79291589999957,262.79291589999957,262.79291589999957,262.79291589999957,10.55,1,263.7910230999987,267.30283639999834,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,28.21,0.0,3.89,0,,,,,0,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,267.30283639999834,2,n,0.4343064000004233,267.7683976999997,268.783669299999,268.783669299999,268.783669299999,268.783669299999,268.783669299999,0.0,1,269.7820161999989,273.29368689999865,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,16.0,0.0,4.0,0,,,,,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,273.29368689999865,1,v,0.4344362000010733,273.7593494999983,274.7747905999986,274.7747905999986,274.7747905999986,274.7747905999986,274.7747905999986,16.0,1,275.77304699999877,278.785507999999,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,10.39,0.0,6.81,0,,,,,0,19,19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.785507999999,278.785507999999,278.785507999999,278.785507999999,278.785507999999,278.785507999999,278.785507999999,278.785507999999,278.785507999999,278.785507999999,1,n,0.36758560000089346,279.18447919999926,280.19987669999864,280.19987669999864,280.19987669999864,280.19987669999864,280.19987669999864,6.81,0,281.1980631999995,284.70993519999865,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,12.68,0.0,5.66,0,,,,,0,20,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,284.70993519999865,1,v,0.457956500002183,285.1921803999994,286.2079072999986,286.2079072999986,286.2079072999986,286.2079072999986,286.2079072999986,12.68,1,287.2057853999995,290.7174011999996,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,6.79,0.0,9.92,1,,,,,0,21,21,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,290.7174011999996,2,n,0.67483970000103,291.41600429999926,292.4313465999985,292.4313465999985,292.4313465999985,292.4313465999985,292.4313465999985,6.79,1,293.42969639999865,296.4421281999985,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,19.86,0.0,0.0,1,,,,,0,22,22,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,296.4421281999985,1,v,0.7338798000000679,297.2076245999997,298.22276019999845,298.22276019999845,298.22276019999845,298.22276019999845,298.22276019999845,19.86,1,299.220928499999,302.73261509999975,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,21.32,0.0,7.34,0,,,,,0,23,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,302.73261509999975,2,n,0.37157590000060736,303.13167219999923,304.147123499999,304.147123499999,304.147123499999,304.147123499999,304.147123499999,21.32,1,305.14531149999857,308.6570746999987,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,10.12,0.0,6.94,0,,,,,0,24,24,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,308.6570746999987,2,v,0.41499780000049213,309.08949479999865,310.1046871999988,310.1046871999988,310.1046871999988,310.1046871999988,310.1046871999988,6.94,0,311.1030428999984,314.61466129999826,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,22.97,0.0,6.51,0,,,,,0,25,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,314.61466129999826,2,n,0.5694027000008646,315.21356119999837,316.22920909999993,316.22920909999993,316.22920909999993,316.22920909999993,316.22920909999993,0.0,1,317.2271127999993,320.23955099999876,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,2,18.77,0.0,8.61,0,,,,,0,26,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,320.23955099999876,2,v,0.5446205999996891,320.80519599999934,321.8204464999999,321.8204464999999,321.8204464999999,321.8204464999999,321.8204464999999,8.61,0,322.8187152999999,325.83121799999935,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
,,,,,1,0.0,0.0,7.55,1,,,,,0,27,27,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,325.83121799999935,1,n,0.368974300001355,326.2302252999998,327.2454710999991,327.2454710999991,327.2454710999991,327.2454710999991,327.2454710999991,7.55,0,328.24385579999944,331.25624739999876,,,,,,,,,,,,,999,2023-09-30_15h24.48.170,cgeRDMtask,2022.2.4,60.09120643287031,
